Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030130010089RH6,115.788,4.99988,5.00009,PASSED,PASSED,PASSED,PASSED,398,422.8,PASS,6/21/2024 11:50:50 AM
ZJ24030130010117RH6,115.987,5,4.99975,PASSED,PASSED,PASSED,PASSED,396,390,PASS,6/21/2024 11:51:53 AM
ZJ24030130010109RH6,117.242,4.9994,5.00043,PASSED,PASSED,PASSED,PASSED,397.2,434.4,PASS,6/21/2024 11:53:17 AM
ZJ24030130010061RH6,116.583,4.99992,5.00026,PASSED,PASSED,PASSED,PASSED,413.6,432.8,PASS,6/21/2024 11:55:47 AM
ZJ24030130010024RH6,115.39,5.00016,4.99971,PASSED,PASSED,PASSED,PASSED,355.2,414.8,PASS,6/21/2024 12:03:53 PM
ZJ24030130010024RH6,115.847,4.99976,4.99939,PASSED,PASSED,PASSED,PASSED,368,443.6,PASS,6/21/2024 12:05:00 PM
ZJ24030130010083RH6,122.599,4.9999,5.00016,PASSED,PASSED,PASSED,PASSED,424,394.4,PASS,6/21/2024 12:08:25 PM
ZJ24030130010111RH6,118.103,4.99964,5.00001,PASSED,PASSED,PASSED,PASSED,403.6,400.4,PASS,6/21/2024 12:10:39 PM
ZJ24030130010022RH6,115.912,5.00004,4.99963,PASSED,PASSED,FAILED,FAILED,400,262.4, --- , 4.99992,4.99985,PASSED,PASSED,PASSED,PASSED,444.8,275.6,FAIL,6/21/2024 12:12:43 PM
ZJ24030130010022RH6,116.614,4.9993,4.99914,PASSED,PASSED,PASSED,PASSED,396.4,292.8, --- , 4.99982,5.00089,PASSED,PASSED,PASSED,PASSED,432.8,283.2,FAIL,6/21/2024 12:14:24 PM
ZJ24030130010001RH6,114.732,4.99996,5.00002,PASSED,PASSED,PASSED,PASSED,436,428,PASS,6/21/2024 12:15:27 PM
ZJ24030130010100RH6,114.053,5.00016,4.99962,PASSED,PASSED,PASSED,PASSED,372,403.2,PASS,6/21/2024 12:16:43 PM
ZJ24030130010116RH6,116.526,4.99942,4.99992,PASSED,PASSED,PASSED,PASSED,360.8,452,PASS,6/21/2024 12:17:58 PM
ZJ24030130010115RH6,116.031,4.9998,5.0003,PASSED,PASSED,PASSED,PASSED,396,404.8,PASS,6/21/2024 12:19:17 PM
ZJ24030130010084RH6,115.391,4.9998,5.00021,PASSED,PASSED,PASSED,PASSED,382.4,382.4,PASS,6/21/2024 12:20:33 PM
ZJ24030130010023RH6,116.161,5.00026,4.99953,PASSED,FAILED,PASSED,PASSED,408.8,463.2, --- , 5.00016,4.99952,PASSED,PASSED,PASSED,PASSED,400.8,446,PASS,6/21/2024 12:22:31 PM
ZJ24030130010062RH6,117.536,4.99988,4.99978,PASSED,PASSED,PASSED,PASSED,386.4,435.6,PASS,6/21/2024 12:23:53 PM
ZJ24030130010102RH6,115.991,5.0002,5.0004,PASSED,PASSED,PASSED,PASSED,399.2,417.6,PASS,6/21/2024 12:25:23 PM
ZJ24030130010082RH6,115.499,4.99976,4.99996,PASSED,PASSED,PASSED,PASSED,376,370.4,PASS,6/21/2024 12:26:46 PM
ZJ24030130010032RH6,117.391,4.99978,4.99964,PASSED,PASSED,PASSED,PASSED,376,400,PASS,6/21/2024 12:28:04 PM
ZJ24030130010033RH6,116.61,4.99976,4.99959,PASSED,PASSED,PASSED,PASSED,400.4,440.8,PASS,6/21/2024 12:29:55 PM
ZJ24030130010010RH6,115.925,5.0005,5.0002,PASSED,PASSED,PASSED,PASSED,424.8,401.2,PASS,6/21/2024 12:31:13 PM
ZJ24030130010101RH6,117.57,5.00024,5.00002,PASSED,PASSED,PASSED,PASSED,408.8,399.2,PASS,6/21/2024 12:32:33 PM
ZJ24030130010034RH6,115.811,4.99996,4.99948,PASSED,PASSED,PASSED,PASSED,431.2,433.6,PASS,6/21/2024 12:33:58 PM
ZJ24030130010002RH6,116.953,5.0002,4.99977,PASSED,PASSED,PASSED,PASSED,409.6,412,PASS,6/21/2024 12:35:20 PM
ZJ24030130010026RH6,117.599,4.99984,4.99993,PASSED,PASSED,PASSED,PASSED,442.4,416.8,PASS,6/21/2024 12:36:48 PM
ZJ24030130010018RH6,117.743,5.00014,4.99979,PASSED,PASSED,PASSED,PASSED,388.8,403.2,PASS,6/21/2024 12:38:10 PM
ZJ24030130010016RH6,115.053,5.00052,4.99953,PASSED,PASSED,PASSED,PASSED,385.6,384.8,PASS,6/21/2024 12:39:42 PM
ZJ24030130010035RH6,114.964,5.00018,5.0001,PASSED,PASSED,PASSED,PASSED,381.6,403.2,PASS,6/21/2024 12:40:57 PM
ZJ24030130010012RH6,115.771,5.00006,4.9994,PASSED,PASSED,PASSED,PASSED,376.8,392,PASS,6/21/2024 12:46:27 PM
ZJ24030130010036RH6,117.577,4.99954,4.9995,PASSED,PASSED,FAILED,FAILED,420.8,476.8, --- , 5,4.99988,PASSED,PASSED,PASSED,PASSED,440,480,PASS,6/21/2024 12:55:48 PM
ZJ24030130010017RH6,116.192,4.99946,4.99975,PASSED,PASSED,PASSED,PASSED,399.2,406,PASS,6/21/2024 12:57:13 PM
